  PID TTY      STAT   TIME COMMAND
 2790 ?        S      6:02 hald-addon-storage: polling /dev/sr0 (every 2 sec)
 2805 ?        S<     0:00 /sbin/udevd -d
 2891 ?        S      6:04 /.cocli-GFjetQfg/ibin/venus
 3052 ?        Ss     0:00 sshd --library-path /coda/cdal.chalmers.se/sw/1/1/a4y sshd /cdal.chalmers.se/sw/1/Z/Vo0/sshd -f /var/htb/lrw/a/rh6_serv-t/sshd_config
 3073 ?        S      0:00 [nfsv4.0-svc]
 3296 ?        Ss     0:00 /usr/sbin/hv_kvp_daemon
 3318 ?        Ssl    0:00 pcscd
 3334 ?        Ssl    0:16 automount --pid-file /var/run/autofs.pid
 3376 ?        Ss     0:00 /usr/sbin/mcelog --daemon
 3384 ?        Ss     0:00 xinetd -stayalive -pidfile /var/run/xinetd.pid
 3392 ?        Ss     0:01 ntpd -u ntp:ntp -p /var/run/ntpd.pid -g
 3402 ?        Ss     0:00 uuidd
 3429 ?        S      0:00 [afs_pagecopy]
 3434 ?        S      0:00 [afs_callback]
 3436 ?        S      0:00 [afs_rxlistener]
 3437 ?        S      0:43 [afs_rxevent]
 3438 ?        Ss     0:00 /usr/local/sbin/afsd -afsdb -dynroot -fakestat-all
 3441 ?        S      0:03 [afsd]
 3443 ?        S      0:00 [afs_background]
 3446 ?        S      0:00 [afs_background]
 3448 ?        S      0:00 [afs_background]
 3449 ?        S      0:01 [afs_checkserver]
 3450 ?        S      0:00 [afs_background]
 3452 ?        S      0:00 [afs_cachetrim]
 3528 ?        Ss     0:03 /usr/libexec/postfix/master
 3538 ?        S      0:00 qmgr -l -t fifo -u
 3552 ?        Ss     0:00 /usr/sbin/abrtd
 3565 ?        Ss     0:22 /usr/sbin/gpm -m /dev/input/mice -t exps2
 3575 ?        S      0:30 /bin/bash /usr/sbin/ksmtuned
 3584 ?        Ss     0:03 crond
 3595 ?        Ss     0:00 /usr/sbin/atd
 3618 ?        Sl     5:39 /usr/bin/python /usr/share/virt-who/virt-who.py
 3633 ?        Sl     4:40 libvirtd --daemon
 3657 ?        Ss     0:00 rhnsd
 3668 ?        Ss     0:00 /usr/bin/rhsmcertd
 3702 ?        S<     0:00 /sbin/udevd -d
 3749 ?        S      0:00 /usr/sbin/dnsmasq --strict-order --local=// --domain-needed --pid-file=/var/run/libvirt/network/default.pid --conf-file= --except-interface lo --bind-interfaces --listen-address 192.168.122.1 --dhcp-range 192.168.122.2,192.168.122.254 --dhcp-leasefile=/var/lib/libvirt/dnsmasq/default.leases --dhcp-lease-max=253 --dhcp-no-override --dhcp-hostsfile=/var/lib/libvirt/dnsmasq/default.hostsfile --addn-hosts=/var/lib/libvirt/dnsmasq/default.addnhosts
 3751 ?        S      0:10 python /usr/bin/denyhosts.py --daemon --config=/usr/share/denyhosts/denyhosts.cfg
 3761 ?        S      1:26 /usr/sbin/cimserver
 3762 ?        Sl     0:01 cimservermain --executor-socket 3
 3940 ?        SNl   10:56 aex-pluginmanager.bin -D
 3944 ?        SNl   12:24 aex-pluginmanager -F -nm -nc
 3960 ?        Ss     0:01 /usr/sbin/certmonger -S -p /var/run/certmonger.pid
 3974 ?        Ss     0:00 /usr/sbin/cupsd -C /etc/cups/cupsd.conf
 4034 ?        Ss     0:00 /usr/sbin/sshd
 4053 ?        S     10:30 sh /coda/cdal.chalmers.se/htb/1/bundle/A/actions/rh6_init/hbscheduler_start
 4057 ?        Ss     0:00 /usr/sbin/gdm-binary -nodaemon
 4062 tty2     Ss+    0:00 /sbin/mingetty /dev/tty2
 4064 tty3     Ss+    0:00 /sbin/mingetty /dev/tty3
 4066 tty4     Ss+    0:00 /sbin/mingetty /dev/tty4
 4068 tty5     Ss+    0:00 /sbin/mingetty /dev/tty5
 4070 tty6     Ss+    0:00 /sbin/mingetty /dev/tty6
 4228 ?        Sl     0:01 /usr/sbin/console-kit-daemon --no-daemon
 4303 ?        S      0:00 /usr/libexec/devkit-power-daemon
 4412 ?        S      0:02 /usr/libexec/polkit-1/polkitd
 4426 ?        SNl    0:17 /usr/libexec/rtkit-daemon
 5282 ?        Ssl    5:42 /usr/sbin/nscd
 5850 pts/0    T      0:00 ./lsh
 6702 ?        S      0:00 /usr/libexec/gdm-simple-slave --display-id /org/gnome/DisplayManager/Display1
 6715 tty7     Ss+    3:30 /usr/bin/Xorg :0 -br -verbose -audit 4 -auth /var/run/gdm/auth-for-gdm-o47N59/database -nolisten tcp
 6857 ?        S      0:00 /usr/bin/dbus-launch --exit-with-session
 7315 ?        S      0:38 /usr/libexec/udisks-daemon
 7321 ?        S      2:44 udisks-daemon: polling /dev/sr0
 9170 pts/0    T      0:00 ./lsh
11488 pts/0    S+     0:00 ./lsh
12167 ?        S      0:04 /usr/lib/nspluginwrapper/npviewer.bin --plugin /usr/lib/mozilla/plugins/nppdf.so --connection /org/wrapper/NSPlugins/nppdf.so/19403-2/1185030120
